date,offset,size
2018-11-17,16871419259,64300795
2018-11-18,16935720054,63081768
2018-11-19,16998801822,62129855
2018-11-20,17060931677,61811434
2018-11-21,17122743111,62692721
2018-11-22,17185435832,62168811
2018-11-23,17247604643,61889756
2018-11-24,17309494399,61558225
2018-11-25,17371052624,61535750
2018-11-26,17432588374,50223447
2018-11-27,17482811821,46555874
2018-11-28,17529367695,47558221
2018-11-29,17576925916,47002083
2018-11-30,17623927999,46831036
2018-12-01,17670759035,45686095
2018-12-02,17716445130,45777942
2018-12-03,17762223072,43935959
2018-12-04,17806159031,41292507
2018-12-05,17847451538,40689071
2018-12-06,17888140609,40094125
2018-12-07,17928234734,45915285
2018-12-08,17974150019,45691583
2018-12-09,18019841602,44524679
2018-12-10,18064366281,45072774
2018-12-11,18109439055,45554377
2018-12-12,18154993432,45062826
2018-12-13,18200056258,45832267
2018-12-14,18245888525,46774178
2018-12-15,18292662703,46632043
2018-12-16,18339294746,46574020
2018-12-17,18385868766,46443030
2018-12-18,18432311796,46835484
2018-12-19,18479147280,46729626
2018-12-20,18525876906,46849103
2018-12-21,18572726009,46765643
2018-12-22,18619491652,45996022
2018-12-23,18665487674,46041737
2018-12-24,18711529411,45978920
2018-12-25,18757508331,46276804
2018-12-26,18803785135,46305225
2018-12-27,18850090360,45522649
2018-12-28,18895613009,44290768
2018-12-29,18939903777,44656344
2018-12-30,18984560121,44125511
2018-12-31,19028685632,44849765
2019-01-01,19073535397,44021148
2019-01-02,19117556545,44333489
2019-01-03,19161890034,44043988
2019-01-04,19205934022,44506490
2019-01-05,19250440512,43919223
2019-01-06,19294359735,42951670
2019-01-07,19337311405,43435745
2019-01-08,19380747150,43245500
2019-01-09,19423992650,41919824
2019-01-10,19465912474,42752636
2019-01-11,19508665110,42449977
2019-01-12,19551115087,42550413
2019-01-13,19593665500,41494694
2019-01-14,19635160194,41781437
2019-01-15,19676941631,42268938
2019-01-16,19719210569,41455253
2019-01-17,19760665822,41210746
2019-01-18,19801876568,41147369
2019-01-19,19843023937,41495657
2019-01-20,19884519594,40887055
2019-01-21,19925406649,40000472
2019-01-22,19965407121,39667680
2019-01-23,20005074801,39551526
2019-01-24,20044626327,39023349
2019-01-25,20083649676,37611634
2019-01-26,20121261310,38719308
2019-01-27,20159980618,38534985
2019-01-28,20198515603,35242772
2019-01-29,20233758375,30152126
2019-01-30,20263910501,29042694
2019-01-31,20292953195,28610080
2019-02-01,20321563275,32320537
2019-02-02,20353883812,39515792
2019-02-03,20393399604,36819129
2019-02-04,20430218733,38751824
2019-02-05,20468970557,42315307
2019-02-06,20511285864,42257420
2019-02-07,20553543284,41631291
2019-02-08,20595174575,42713952
2019-02-09,20637888527,41036412
2019-02-10,20678924939,39439674
2019-02-11,20718364613,39857319
2019-02-12,20758221932,39180102
2019-02-13,20797402034,37779887
2019-02-14,20835181921,38371465
2019-02-15,20873553386,38319062
2019-02-16,20911872448,37873254
2019-02-17,20949745702,38091928
2019-02-18,20987837630,39038503
2019-02-19,21026876133,39103652
2019-02-20,21065979785,37838653
2019-02-21,21103818438,36394023
2019-02-22,21140212461,35453643
2019-02-23,21175666104,34697070
2019-02-24,21210363174,34645912
2019-02-25,21245009086,34639485
2019-02-26,21279648571,37279293
2019-02-27,21316927864,38021783
2019-02-28,21354949647,38631938
2019-03-01,21393581585,38510006
2019-03-02,21432091591,38336639
2019-03-03,21470428230,38666706
2019-03-04,21509094936,39056615
2019-03-05,21548151551,38206960
2019-03-06,21586358511,37662717
2019-03-07,21624021228,38444937
2019-03-08,21662466165,40144792
2019-03-09,21702610957,40094954
