month,overall,public_housing,1-room_2-room,3-room,4-room,5-room_and_executive,private_housing,private_apts_and_condo,landed_properties,others
2013-06,629.6,378.6,8.8,68.5,154.4,146.9,249.7,156.5,93.3,1.2
2013-07,612,369.4,8.7,66.6,148.8,145.3,241.4,151.7,89.7,1.1
2013-08,617.5,373.2,9,67.5,150.9,145.8,243.3,151.9,91.4,1.1
2013-09,560.6,337.2,8.5,61.3,136.3,131,222.4,137.3,85.2,1
2013-10,555,326.3,8.1,59.9,131.7,126.6,227.6,140,87.6,1.1
2013-11,570.7,340.1,8.5,61.4,137.9,132.3,229.6,143.4,86.1,1
2013-12,530.1,316.5,8.2,57.9,128.1,122.3,212.7,131.3,81.4,0.9
2014-01,509.7,307.1,8,55.8,124.7,118.5,201.7,124.3,77.4,0.9
2014-02,489.3,293.9,7.7,53.3,119.1,113.7,194.6,117.9,76.7,0.8
2014-03,488.7,288.3,7.4,52.4,116.8,111.7,199.5,122,77.5,0.9
2014-04,568.1,335.5,8.5,61.2,136,129.7,231.6,143.1,88.5,1.1
2014-05,609.5,359.6,9.2,66.1,146.2,138.1,248.9,157.9,91,1
2014-06,639,383.6,9.7,69,156,149,254.3,160,94.3,1.1
2014-07,628.1,376.7,9.7,68.3,153,145.7,250.4,158.9,91.5,1
2014-08,635.5,382.4,10,68.9,155.4,148.1,252.1,158.7,93.4,1
2014-09,592.4,355.3,9.5,63.9,144.4,137.5,236.1,147.7,88.3,1
2014-10,580.9,341.4,9.3,62.4,138.8,131,238.4,148.7,89.7,1
2014-11,611.5,362.1,9.9,65.6,147.1,139.5,248.4,158,90.4,1
2014-12,571.8,339.7,9.4,61.3,138.3,130.7,231.2,145.5,85.7,0.9
2015-01,525.2,314.6,8.9,56.4,128.5,120.7,209.7,130.7,79,0.9
2015-02,493.6,294.9,8.5,53.1,120.1,113.3,197.8,122,75.8,0.8
2015-03,513.9,303,8.5,54.8,123.6,116.2,210.1,131.1,79,0.8
2015-04,594.2,349.8,9.7,63.4,142.5,134.3,243.4,152.7,90.7,1
2015-05,610.7,359.2,10.2,65.2,146.5,137.2,250.6,161.4,89.2,0.9
2015-06,632.3,374.7,10.4,67.5,153.1,143.8,256.6,163.8,92.8,1
2015-07,647,384.5,10.7,69.4,157.4,147.1,261.5,167.3,94.2,1
2015-08,656.7,394.6,11,70.7,161.1,151.7,261.3,167.1,94.2,0.9
2015-09,635.7,380.3,10.8,67.9,155,146.6,254.5,162.9,91.6,0.9
